;Locations;Frequency_locations
0;Golden Gate Bridge;27
1;City Hall;22
2;Fairmont Hotel (950 Mason Street, Nob Hill);21
3;Treasure Island;14
4;Coit Tower;12
5;Palace of Fine Arts (3301 Lyon Street);11
6;Chinatown;10
7;Bay Bridge;9
8;Grace Cathedral Episcopal Church (1100 California Street);8
9;Hall of Justice (850 Bryant Street);7
10;Fort Point (Presidio, Golden Gate National Recreation Area);6
11;Alcatraz Island;6
12;Postcard Row (Alamo Square, Hayes Valley);6
13;Ferry Building;6
14;Union Square;5
15;60 Leavenworth St.;5
16;War Memorial Opera House (401 Van Ness Avenue);5
17;Financial District;5
18;Palace of Fine Arts;5
19;Chrissy Field;4
20;Candlestick Park (602 Jamestown Ave.);4
21;770 Haight Street;4
22;Bank of America Building (555 California Street);4
23;1246 Folsom Street;4
24;Dolores Park;4
25;The Embarcadero;4
26;Brocklebank Apartments (1000 Mason Street);4
27;Civic Center Plaza;4
28;Sheraton Palace Hotel (639 Market Street);4
29;San Francisco International Airport;4
30;Transbay Terminal (Mission Street at 1st Street);4
31;San Francisco Drydock (20th and Illinois Streets);4
32;Embarcadero Freeway;4
33;Presidio (Golden Gate National Recreation Area);3
34;Vesuvio Café (255 Columbus Avenue);3
35;Telegraph Hill;3
36;Huntington Park (California & Taylor Streets, Nob Hill);3
37;Pier 39;3
38;Mission Dolores Park (Mission District);3
39;Hyatt Regency Hotel (5 Embarcadero Center);3
40;The Castro;3
41;Fisherman's Wharf;3
42;Tosca Café (242 Columbus Avenue, North Beach);3
43;United Nations Plaza (Civic Center);3
44;Cliff House (1090 Point Lobos Avenue);3
45;San Francisco City Hall;3
46;San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill);3
47;Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill);3
48;Montgomery & Market Streets;3
49;Westin St. Francis Hotel (335 Powell Street, Union Square);3
50;Neiman Marcus (150 Stockton Street, Union Square);3
51;Pier 7 (The Embarcadero);3
52;State Garage, 818 Leavenworth;3
53;Stockton Tunnel (Stockton Street at Sutter Street);3
54;Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin);3
55;1890 Clay Street;3
56;Pier 7;3
57;Jefferson St at Taylor St;2
58;Mission Dolores (3321 16th Street, Mission District);2
59;Cliffhouse, 1090 Point Lobos Ave.;2
60;TransAmerica Pyramid (600 Montgomery Street);2
61;The Malloch Apartment Building (1360 Montgomery Street);2
62;Potrero Hill;2
63;Mission Rec Center, 2450 Harrison Street;2
64;Justin Herman Plaza;2
65;Portsmouth Square (Chinatown);2
66;The Tamalpais Building (1201 Greenwich Street at Hyde);2
67;The Drew School, 2901 California;2
68;The Castro Theater, 429 Castro St.;2
69;Marina Green (Marina District);2
70;San Francisco Chronicle (901 Mission Street at 15th Street);2
71;534 Hyde Street;2
72;60 Potomac;2
73;601 Buena Vista Ave West;2
74;SF General Hospital Center (1001 Potrero Avenue, Potrero Hill);2
75;Danilo's Bakery (Green Street & Bannam Place);2
76;Lombard Street;2
77;Department of Public Health (101 Grove Street at Polk, Civic Center);2
78;Duboce Park;2
79;Li Po (916 Grant Avenue at Washington, Chinatown);2
80;Red's Java House (Pier 30-32, The Embarcadero);2
81;Mason & California Streets (Nob Hill);2
82;Edinburgh Castle (950 Geary Street);2
83;Mason & Sacramento St;2
84;Sutro Baths (Point Lobos Avenue);2
85;Twin Peaks;2
86;Tank Hill Park;2
87;"Laguna Honda Hospital; 375 Laguna Honda Blvd.";2
88;2700 Vallejo Street (Pacific Heights);2
89;8 Octavia Street;2
90;Merchant Exchange (465 California Street at Leidesdorff);2
91;The Barbary Coast;2
92;Castro Theatre, 429 Castro St.;2
93;Marina Green, Marina District;2
94;Grant between Bush and Broadway;2
95;Bix Restaurant (56 Gold Street);2
96;Montgomery Street at Union Street;2
97;California & Davis St;2
98;On Board the SS President Cleveland, docked at Pier 50;2
99;Pier 43 1/2;2
100;Hyde Street Cable Car;2
101;Pier 43;2
102;One Embarcadero Center (Financial District);2
103;Aquatic Park (Jefferson Street);2
104;Asian Art Museum (200 Larkin Street, Civic Center);2
105;Bernal Heights Park;2
106;Baker Beach;2
107;Moose's Restaurant (1652 Stockton);2
108;1400 16th Street;2
109;Warren's Antiques, 375 9th St.;2
110;Administration Building (Treasure Island);2
111;Washington Street & Waverly Place (Chinatown);2
112;Washington Square Park (North Beach);2
113;Golden Gate National Recreation Area;2
114;Washington Square Park;2
115;Former Hall of Justice (750 Kearny Street at Washington);2
116;1227 Montgomery Street;2
117;2 Rowland;2
118;Willy's Barber shop, 3227 22nd Street;2
119;Alta Plaza Park (Steiner Street);2
120;Broadway Tunnel (Russian Hill);2
121;Alamo Square;2
122;North Beach;2
123;Ocean Park Motel;2
124;Nob Hill;2
125;Mudpie, 2185 Fillmore Street;1
126;Market and Noe St;1
127;Market at Mason;1
128;Market between Stuart and Van Ness;1
129;Market/Portola btwn O'Shaughnessy and Castro;1
130;Muni line N- Judah;1
131;Muni Metro East (501 Cesar Chavez);1
132;Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place);1
133;Market & Castro Street;1
134;Marina Morrison Bridal, 30 Maiden Ln.;1
135;Marriot Hotel (55 4th Street at Market);1
136;Musee Mecanique, Fisherman's Wharf;1
137;Muddy Waters, 521 Valencia Street;1
138;Muddy Waters Coffee House;1
139;Marriott Marquis, 780 Mission Street;1
140;Mt. Davidson Cross, Mt. Davidson;1
141;North Beach Video (1398 Grant Avenue at Green);1
142;North Beach: Kearny/Vallejo, Kearny/Broadway, Broadway/Columbus;1
143;Market and Church St;1
144;Market Street Between Noe and Sanchez;1
145;Nobles Alley;1
146;New Russian Hill Market (1198 Pacific Avenue at Jones);1
147;Market & 2nd Streets;1
148;Market & Church St.;1
149;Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle);1
150;Mark Hopkins Hotel (999 California Street);1
151;Market & Steuart Streets (Financial District);1
152;Maritime Museum, Building 201 (Fort Mason);1
153;New Taraval Café (1054 Taraval St.);1
154;Mario's Café, 566 Columbus;1
155;Nina M. Designs (52 2nd Street at Jessie);1
156;Mario's Bohemian Cigar Store (Washington Square);1
157;Mt. Davidson;1
158;Market St at Embarcadero;1
159;New Asia Restaurant (772 Pacific Avenue at Grant);1
160;Market St. at Embarcadero area;1
161;Nevada St btwn Cortland and Jarboe Ave;1
162;Market St. overpass;1
163;Marine Fireman's Union Headquarters;1
164;Market Street;1
165;Near Point Lobos, El Camino Del Mar;1
